Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
1955-11-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-05,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-11-06,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-11-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-12,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-11-13,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.25,,
1955-11-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.19,,
1955-11-17,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-11-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-19,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-11-20,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-11-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-24,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-26,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-11-27,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-11-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-11-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1955-12-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-03,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-04,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-10,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-11,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1955-12-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.25,,
1955-12-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1955-12-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-17,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-18,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-21,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1955-12-22,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-24,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-25,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,,,,2.5,,
1955-12-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-28,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.38,,
1955-12-29,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1955-12-31,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-01,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1956-01-04,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,1.25,,
1956-01-05,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-07,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-08,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1956-01-11,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1956-01-12,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-14,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-15,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-16,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-17,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-18,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-19,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-20,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-21,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-22,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-23,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-24,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-25,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-26,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-27,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-28,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-29,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-01-30,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-01-31,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-01,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-02,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-03,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-04,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-05,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-06,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-07,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-08,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-09,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-10,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-11,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-12,,,,,,,,,,5.5,4.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-13,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-14,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-15,,,,,1.5,,,,,5.5,4.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-16,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-17,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-18,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-19,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-20,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-21,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1956-02-22,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1956-02-23,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-24,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-25,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-26,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-02-27,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-28,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-02-29,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-01,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-02,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-03,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-04,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-05,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-06,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-07,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-08,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-09,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-10,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-11,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-12,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-13,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-14,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.44,,
1956-03-15,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-16,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-17,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-18,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-19,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-20,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-21,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-22,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-23,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-24,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-25,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-03-26,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-27,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-28,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-29,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-30,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-03-31,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-04-01,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-04-02,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-03,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-04,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-05,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-06,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-07,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-04-08,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.5,,
1956-04-09,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-10,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-11,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-12,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.5,,
1956-04-13,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-14,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-04-15,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-04-16,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.69,,
1956-04-17,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.38,,
1956-04-18,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.38,,
1956-04-19,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-20,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-21,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-04-22,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-04-23,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-24,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-25,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-26,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-27,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-04-28,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-04-29,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-04-30,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-01,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-02,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-03,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-04,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-05,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-06,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-07,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-08,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-09,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-10,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-11,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-12,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-13,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-14,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-15,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-16,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-17,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-18,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-19,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-20,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-21,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-22,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-23,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-24,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-25,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-26,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-27,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-05-28,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-29,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-30,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-05-31,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-06-01,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
1956-06-02,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-06-03,,,,,,,,,,5.5,5.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,2.75,,
1956-06-04,,,,,1.5,,,,,5.5,5.5,,,,,,3.5,,7.3,,,,,,,,,,,,,,3.75,,,2.75,,
